The Electric Waves,Brasil,2,1000,4,1
Lunar Echoes,Estados Unidos,1,1500,5,1
Crimson Sky,Reino Unido,1.5,1200,3,1
Azure Serenade,Austrália,2.5,1800,6,1
Wildfire Symphony,Alemanha,1.25,900,4,1
Midnight Pulse,Canadá,1.75,1100,5,1
Silent Samurai,Japão,1.5,1300,3,1
Solar Flares,Brasil,2,1000,4,1
Eternal Echo,Estados Unidos,1.25,900,4,1
Silver Rain,Reino Unido,1.5,1200,3,1
Mystic Serpent,Austrália,2,1000,4,1
Obsidian Winds,Alemanha,1,1500,5,1
Echoes of Eternity,Canadá,1.5,1200,3,1
Crimson Lotus,Japão,2.5,1800,6,1
Emerald Shadows,Brasil,1.25,900,4,1
Whispering Dreams,Estados Unidos,1.5,1200,3,1
Amber Skies,Reino Unido,1.75,1100,5,1
Harmonic Enigma,Austrália,1.5,1300,3,1
Golden Horizon,Alemanha,2,1000,4,1
Celestial Harmony,Canadá,1.25,900,4,1
Rising Phoenix,Japão,1.5,1200,3,1
Luminous Harmony,Brasil,2,1000,4,1
The Velvet Shadows,Estados Unidos,1,1500,5,1
Whirlwind Symphony,Reino Unido,2.5,1800,6,1
Crimson Dream,Austrália,1.5,1300,3,1
Ethereal Echo,Alemanha,1.25,900,4,1
Melodic Storm,Canadá,1.75,1100,5,1
Silent Oceans,Japão,2,1000,4,1
Solaris,Brasil,1.5,1200,3,1
Eclipse Rising,Estados Unidos,2,1000,4,1
Enchanted Melodies,Reino Unido,1.25,900,4,1
Aurora Borealis,Austrália,1.5,1200,3,1
Phantom Symphony,Alemanha,1.75,1100,5,1
Solstice Serenade,Canadá,2.5,1800,6,1
Twilight Melody,Japão,1,1500,5,1
Mystic Harmony,Brasil,1.5,1200,3,1
Lunar Shadows,Estados Unidos,2,1000,4,1
Whispering Winds,Reino Unido,1.25,900,4,1
Eternal Embers,Austrália,2.5,1800,6,1
Melodic Echoes,Alemanha,1.75,1100,5,1
Celestial Symphony,Canadá,1.5,1300,3,1
Nightfall Serenade,Japão,1.75,1100,5,1
Crimson Mist,Brasil,2.25,1400,6,ativo,1
Echoes of Dawn,Estados Unidos,1.5,1200,3,1
The Enigma,Reino Unido,1.5,1200,3,1
Silent Thunder,Austrália,2,1000,4,1
Radiant Harmony,Alemanha,1.5,1300,3,1
Lost Symphony,Canadá,2.5,1800,6,1
Mystic Rhapsody,Japão,1.25,900,4,1
Silver Lining,Brasil,1.75,1100,5,1
Sonic Fusion X,Estados Unidos,1.5,1200,3,1
Whispering Seas,Reino Unido,2,1000,4,1
Celestial Solace,Austrália,1.5,1200,3,1
Velvet Shadows,Alemanha,1,1500,5,1
Ethereal Pulse,Canadá,2.25,1400,6,1
Harmonic Dreams,Japão,1.75,1100,5,1
Crimson Rain,Brasil,1.5,1200,3,1
Aurora Symphony,Estados Unidos,2,1000,4,1
Solstice Serenade,Reino Unido,1.25,900,4,1
Eternal Echoes,Austrália,1.5,1200,3,1
Melodic Whispers,Alemanha,2.5,1800,6,1
Sonic Fusion,Canadá,1.5,1200,4,1
Amber Sky,Austrália,2,1000,3,1
Rhythm's Edge,Reino Unido,1.25,900,5,1
Eclipse Rising,Alemanha,2.5,1800,6,1
Echoes of Twilight,Japão,1.75,1100,4,1
Crimson Mist XXX,Brasil,1.5,1200,5,1
Whispering Seas,Estados Unidos,2,1000,3,1
Mystic Dawn,Austrália,1.25,900,4,1
Celestial Dreams,Canadá,1.75,1100,5,1
Velvet Echoes,Reino Unido,2.5,1800,6,1
Eternal Serenade,Alemanha,1.5,1200,4,1
Silver Lining,Japão,1.5,1300,5,1
Harmonic Shadows,Brasil,2,1000,3,1
Aurora Symphony,Estados Unidos,1.25,900,4,1
Enchanted Melodies,Austrália,2.5,1800,6,1
Melodic Whispers,Canadá,1.5,1200,4,1
Lunar Symphony,Reino Unido,2,1000,3,1
Crimson Horizon,Alemanha,1.25,900,5,1
Ethereal Serenade,Japão,1.75,1100,4,1
Mystic Echo,Brasil,1.5,1200,5,1
Silent Thunder,Estados Unidos,2,1000,3,1
Radiant Harmony,Austrália,1.5,1300,4,1
Lost Symphony,Canadá,1.75,1100,5,1
Silver Moon,Reino Unido,2.5,1800,6,1
Harmonic Dreams,Alemanha,1.5,1200,4,1
Enchanted Melody,Japão,1.5,1300,5,1
Crimson Skies,Brasil,2,1000,3,1
Azure Melodies,Estados Unidos,1.25,900,4,1
Eternal Waves,Austrália,2.5,1800,6,1
Melodic Harmony,Canadá,1.5,1200,4,1
Whispering Seas,Reino Unido,2,1000,3,1
Mystic Symphony,Alemanha,1.25,900,5,1
Lunar Echo,Brasil,1.5,1200,5,1
Crimson Horizon,Estados Unidos,2,1000,3,1
Ethereal Serenade,Austrália,1.75,1100,4,1
Celestial Harmony,Canadá,1.5,1300,4,1
Melodic Shadows,Japão,2,1000,3,1
Silver Echoes,Brasil,1.25,900,5,1
Black Sabbath,Inglaterra,2,2000,4,1